ID,A_HGA
438,43
439,39
440,39
441,43
442,43
443,39
444,39
445,44
446,43
447,43
448,43
449,43
450,43
451,43
452,43
453,0
454,43
455,39
456,0
457,0
458,39
459,44
460,37
461,43
462,39
463,43
464,43
465,0
466,0
467,0
468,43
469,45
470,39
471,43
472,39
473,43
474,39
475,45
476,43
477,43
478,45
479,39
480,43
481,43
482,43
483,0
484,39
485,43
486,43
487,43
488,43
489,0
490,39
491,43
492,43
493,39
494,0
495,39
496,39
497,39
498,39
499,43
500,43
501,44
502,44
503,0
504,43
505,43
506,39
507,43
508,39
509,39
510,43
511,43
512,39
513,43
514,44
515,43
516,43
517,43
518,0
519,43
520,43
521,39
522,43
523,43
524,43
525,39
526,43
527,39
528,43
529,0
530,0
531,39
532,0
533,0
534,0
535,43
536,43
537,43
538,39
539,39
540,43
541,0
542,0
543,0
544,0
545,39
546,43
547,43
548,39
549,39
550,39
551,39
552,0
553,0
554,39
555,0
556,0
557,43
558,43
559,39
560,43
561,39
562,39
563,39
564,43
565,43
566,0
567,39
568,0
569,43
570,0
571,0
572,43
573,0
574,0
575,39
576,0
577,0
578,43
579,43
580,0
581,0
582,39
583,43
584,43
585,43
586,0
587,0
588,40
589,43
590,43
591,43
592,43
593,0
594,0
595,43
596,43
597,45
598,43
599,43
600,45
601,43
602,0
603,0
604,43
605,0
606,0
607,43
608,43
609,43
610,43
611,39
612,43
613,40
614,43
615,43
616,43
617,43
618,43
619,39
620,40
621,43
622,0
623,0
624,43
625,45
626,43
627,43
628,43
629,43
630,39
631,39
632,39
633,39
634,44
635,43
636,39
637,0
638,43
639,43
640,43
641,0
642,43
643,43
644,43
645,39
646,43
647,43
648,39
649,43
650,43
651,43
652,43
653,43
654,0
655,0
656,39
657,43
658,44
659,45
660,39
661,0
662,0
663,0
664,43
665,43
666,43
667,39
668,39
669,43
670,0
671,0
672,43
673,44
674,43
675,43
676,0
677,43
678,39
679,44
680,43
681,39
682,0
683,0
684,39
685,39
686,39
687,39
688,43
689,39
690,39
691,43
692,43
693,39
694,0
695,0
696,0
697,44
698,43
699,44
700,43
701,39
702,39
703,39
704,39
705,43
706,0
707,0
708,0
709,39
710,39
711,43
712,39
713,39
714,39
715,39
716,39
717,39
718,39
719,43
720,39
721,0
722,0
723,0
724,0
725,43
726,43
727,0
728,43
729,39
730,43
731,43
732,39
733,43
734,45
735,43
736,39
737,0
738,0
739,43
740,43
741,0
742,0
743,0
744,0
745,39
746,43
747,39
748,43
749,0
750,0
751,0
752,39
753,0
754,0
755,43
756,43
757,43
758,39
759,0
760,43
761,45
762,43
763,43
764,43
765,0
766,0
767,43
768,39
769,0
770,0
771,39
772,39
773,39
774,39
775,39
776,0
777,0
778,43
779,39
780,43
781,39
782,39
783,39
784,39
785,43
786,0
787,0
788,0
789,39
790,43
791,39
792,43
793,43
794,43
795,43
796,43
797,39
798,43
799,0
800,43
801,43
802,43
803,43
804,39
805,39
806,43
807,43
808,44
809,43
810,43
811,43
812,43
813,39
814,0
815,0
816,0
817,39
818,43
819,39
820,43
821,0
822,0
823,39
824,43
825,43
826,43
827,43
828,44
829,43
830,0
831,43
832,39
833,39
834,43
835,43
836,43
837,39
838,39
839,39
840,43
841,43
842,0
843,39
844,43
845,43
846,39
847,39
848,39
849,39
850,43
851,45
852,43
853,39
854,39
855,0
856,0
857,43
858,43
859,0
860,0
861,0
862,0
863,39
864,43
865,39
866,39
867,43
868,43
869,44
870,0
871,0
872,39
873,43
874,39
875,43
876,43
877,43
878,39
879,43
880,43
881,39
882,39
883,43
884,39
885,39
886,43
887,43
888,43
889,43
890,45
891,43
892,43
893,39
894,43
895,39
896,43
897,40
898,0
899,0
900,0
901,0
902,43
903,43
904,43
905,43
906,43
907,43
908,0
909,43
910,43
911,43
912,45
913,0
914,0
915,43
916,43
917,39
918,39
919,43
920,43
921,43
922,39
923,39
924,39
925,43
926,43
927,43
928,43
929,43
930,43
931,43
932,43
933,39
934,39
935,43
936,43
937,39
938,39
939,44
940,43
941,43
942,39
943,43
944,43
945,0
946,0
947,39
948,43
949,43
950,39
951,39
952,43
953,39
954,43
955,39
956,0
957,43
958,43
959,39
960,39
961,43
962,43
963,43
964,39
965,39
966,44
967,43
968,39
969,43
970,0
971,0
972,39
973,43
974,43
975,43
976,43
977,43
978,39
979,43
980,39
981,43
982,39
983,0
984,0
985,0
